FOF	MOVIE_NAME	MIN	SEC	YEAR	COUNTRY	LANGUAGE	SUBTITLES	PLOT	NOTE	DIRECTOR	DIRECTOR_DETAILS	CINEMATOGRAPHER	EDITOR	PRODUCTION DESIGN	SOUND	COLORIST	PRODUCER
																	
2023	Court	116		2014	India	Marathi, Hindi, Gujarati, English	English	The dead body of a sewer cleaner is found in a Mumbai manhole. An ageing Dalit activist and mass singer is charged with abetting suicide based on the fiery content of one of his song lyrics, which allegedly may have incited the worker to take his own life. The ensuing trial is drawn out through procedural delays and excuses, and meanders through the absurdities of coached witnesses, arcane colonial legal practices and institutional incompetencies. This Kafkaesque chaos of a low-level court acts as a backdrop to explore the complex personal lives of judge, prosecution and defense alike. The director moves between tragedy and comedy, working with a cast of professional and un-trained actors alike, to bring his dark yet humanist portrait of the Indian justice system to life.		Chaitanya Tamhane	'Chaitanya Tamhane is an Indian filmmaker known for his thoughtful and nuanced films that explore complex social issues. His debut feature film, \"Court\" (2014), won several awards at international festivals and was India''s official entry for the Academy Awards. Tamhane''s second film, \"Violence Anywhere But Here\" (2023) premiered at the Berlin International Film Festival where it received critical acclaim. He has been praised for his unique style of storytelling which involves exploring different perspectives without passing judgment. His films often tackle themes such as justice, power dynamics, and moral ambiguity. Overall, Tamhane is considered one of the most promising young directors working today.'	Mrinal Desai	Rikhav Desai	Naresh Kumar, Somnath Pal, Pooja Talreja	Keshav Waghe		Vivek Gomber
2023	Fandry (Pig)	105		2013	India	Marathi	English	A mesmeric force pulls Jabya onto the other side. The rarest of rare Black Sparrow he is told, is the cure to his problem. The hypnotic spell of the sparrow makes him wander relentlessly. Completely away from the magical world of Jabya, exists the callous reality of his parents who are working at the most oppressed level of the Indian class and caste structure and assume him to do the same work which they have done all their life. The protagonist Jabya has to now struggle between his quest to find the magical sparrow and his parents’ expectations. Will Jabya be successful in his pursuit of the Black Sparrow? Will the magnetic power surpass the class differences between Jabya and Shalu created by centuries of customs? Will Jabya break the fences and pass onto the other side?		Nagraj Manjule	'Nagraj Manjule is a renowned Marathi writer and film director from Maharashtra, India. He gained recognition through his short stories collection titled \"Shrimant Shripad Rajebahaddur Sangaonkar\" (The Chronicles of Mr. Haidnagar). His first feature film, \"Fandry\" (2013), won numerous awards including the Best Feature Film award at the Mumbai International Film Festival. His second film, \"Chaupaty Unlimited\" (2018), was selected for screening at the prestigious Cannes Directors'' Fortnight. Manjule''s works often deal with sensitive topics like caste discrimination, untouchability, and violence against Dalits. He has been credited with bringing these issues into mainstream consciousness through his powerful writing and filmmaking. In addition to his literary and cinematic pursuits, he is also active in politics and has served as a member of parliament in the Lok Sabha.'	Vikram Amladi	Chandan Arora		Nimish Chheda, Avinash Sonawane		Vivek Kajaria, Nilesh Navalakha
2023	Jhini Bini Chadariya (The Brittle Thread)	97		2021	India	English, Hindi, Hebrew	English	Headstrong, feisty street dancer Rani works hard to take care of her daughter while reclusive weaver Shahdab discovers a new world in his friendship with an Israeli tourist. Exploring the love and hate dimensions in the ancient city of Varanasi, their cultural and political identities come to the fore. Will the luminous fabric of our diversity soon turn into an iron curtain, dividing those who seem to belong & those who don’t?		Ritesh Sharma	Ritesh Sharma is a talented Indian film director known for his ability to bring stories to life on screen. He has directed several critically acclaimed films that have won awards at international festivals. His work often explores themes of identity, relationships, and social issues. Despite facing challenges in the industry, he continues to push boundaries and create thought-provoking cinema.	Priyashanker Ghosh	Bhisma Pratim		Piyush Shah, Rahul Gujar, Mangesh Jadhav	Shashank Jha	Visvesh Singh Sehrawat,  Abhinav Pareek, Sampat Singh Rathore, Ritesh Sharma
2023	Aise Hee (Just Like That)	120		2019	India	Hindi	English	Mrs. Sharma is the ideal wife of a locally respected small-time government employee living with extended family in Allahabad. But when her husband dies, she begins to take liberties with her life that, although innocent in themselves, begin a rapid rippling of gossip and familial tensions that together spell tragedy. Aise Hee viscerally explores the family as a microcosm of a society that is fast sliding into the grip of fascism.		Kislay	Kislay is known for Just Like That (2019).	Saumyananda Sahi	Tanushree Das	Mausam Aggarwal, Yogesh Langyan	Souvik Phukan	Bhusam Kiran	Shwetaabh Singh
2023	Ghode ko Jalebi Khilane Le Ja Riya Hoon (Taking the Horse to Eat Jalebis)	122		2018	India	Hindi	English	Fusing documentary-realism with magic-realism, and true and fictionalised stories with poetry and dreams, Ghode Ko Jalebi Khilane Le Ja Riya Hoon is a love letter to the syncretic culture of Old Delhi, to its history which is slowly losing itself amid concrete and smog. The film portrays the lives lived by the people of Old Delhi — a pickpocket, a snacks vendor, a labourer-activist, and a conductor of heritage walks. Patru, the pickpocket, takes people on a walk to show them the underbelly of the city only to end up in trouble with merchants and the police. He decides to conduct his last ‘Dream Walk’, where we discover the subterranean consciousness of the city’s migrant population.		Anamika Haksar	Anamika Haksar is an Indian theatre director. Having first trained under Badal Sarcar and then with B.V. Karanth at the National School of Drama (NSD), she later went to the State Institute of Theatre Arts, Moscow. She won the Sanskriti Award for developing a new theater language in India in 1995. In 2016, she was invited to the Kochi Biennale to exhibit an acclaimed theatre installation.	Saumyananda Sahi	Paresh Kamdar	Archana Shastri	Gautam Nair	Sidharth Meer	Anamika Haksar
2022	Chauthi Koot (The Fourth Direction)	115		2015	India	Punjabi		Set during the conflict between Sikh separatists and the Indian army in the early 1980s, fear, distrust and paranoia form the main emotional frame of the narrative. Jugal and Raj, two Hindi friends, miss their last train to Amritsar, the holiest city in Punjab. They end up in a cargo wagon among illegal passengers. In flashbacks we follow Jugal’s family lost at night on the outskirts of a Punjabi village. Full of fear, they hesitantly knock at the door of an isolated house and ask for directions. Later that night, Sikh terrorists visit the same Punjabi family and give orders to kill their dog for barking and drawing attention. The next morning, paramilitary men burst into the house looking for the terrorists.		Gurvinder Singh	'Gurvinder Singh is an Indian film director. He is best known for his Punjabi language films Anhe Ghore Da Daan, and Chauthi Koot (The Fourth Direction) which premiered at Venice and Cannes Film Festival respectively. In 2016, he was invited by a Turkish production house to direct a short film ''Infiltrator'' (16 mins) as part of an international anthology of ten short films from ten countries, titled \"In The Same Garden\". The anthology premiered at the Sarajevo Film Festival in 2016. He made an experimental film based on the short stories of the Colombian writer Garbriel Garcia Marquez as part of a workshop with the students of acting at the FTII. The film titled ''Sea of Lost Time'' (45 mins) premiered at the Rotterdam Film Festival in 2019.'	Satya Rai Nagpaul	'Bhupesh ''Micky'' Sharma'	Priyanka Grover 	Susmit Nath	Xavier Joseph	
2022	Kitte Mil Ve Mahi (Where the Twain shall meet)	72		2005	India	Punjabi	English	'This film, first of Ajay Bharadwaj''s trilogy on Punjab, contends the dominant perceptions of the economic and spiritual heritage of Punjab. It does so through a people’s narrative on the preservation and regeneration of its ‘little’ traditions, which often appear seamlessly cultural and political. The film invites the audience to travel to the heart of Punjab. To enter a world of Sufi shrines worshipped and looked after by Dalits. To listen to B.S. Balli Qawwal Paslewale, the first generation Dalit Qawwals born out of this tradition. To join a fascinating dialogue with Lal Singh Dil—a radical poet, a Dalit, converted to Islam. To meet the last living legend of the Gadar movement, Baba Bhagat Singh Bilga, who contests the subversion of a common past, while affirming a new consciousness among Dalits, within and beyond Punjab. The interplay between the constituents of this mosaic brings to light the triple marginalisation of Dalits—amidst the agricultural boom that is the modern Punjab, in the contesting ground of its ‘major’ religions, and in the intellectual construction of their ‘syncretism’.'		Ajay Bhardwaj	Ajay Bhardwaj is a filmmaker and scholar whose work meditates on the relationship between aesthetic and subversive, art and identity, and history and memory. In his long stint as a documentary filmmaker, he explored the northwestern state of Punjab in India for a decade. This phase culminated in his Punjab trilogy—a set of documentaries located at the intersection of Dalit religiosity, performance traditions, and memories of partition. Bhardwaj is a recipient of the Public Scholars Award at the University of British Columbia, where he recently completed his PhD on South Asian Left-wing cultural activism in British Columbia. The doctoral documentary, \"When the Tide Goes Out,\" accompanying his dissertation that examines representational absences in multimedia archive, has been selected for screening at the Vancouver International South Asian Film Festival 2022.	Ajay Bhardwaj	Sachindra Bisht		Asheesh Pandya		Ajay Bhardwaj
2022	Taangh (Longing)	89		2021	India	English, Hindi, Punjabi, Urdu	English	Against the backdrop of Partition, independent India’s first hockey team defeats England, their erstwhile coloniser, to win the Gold at the 1948 London Olympics. Six decades later, when Nandy Singh, a member of this iconic team suffers a stroke, his tenacious struggle to recover, inspires his daughter to retrace his journey. Using archival footage and interviews with teammates, she reveals lives shaped by the Gold, and by Partition that made them refugees. Revealed also is a friend in Pakistan never spoken of before. Her journey in search of him morphs into a quest for the lost ‘watan’ (homeland).		Bani Singh	Bani Singh studied Space Design at the National Institute of Design, Ahmedabad and worked in the area of Museum studies later. She worked at the ‘Virasat-e-Khalsa Museum’ in Anandpur Sahib, Punjab as a gallery visualiser and content interpreter and was a senior faculty at Srishti School of Art, Design and Technology. Taangh is her first film.	Yugesh Walia, Sudhir Aggarwal and Bani Singh	Abhro Banerjee		Rajivan Ayyapan		Bani Singh
2022	Landless	70		2018	India	Punjabi	English	Landless is a narrative of issues faced by Dalits in their daily life, caste based discrimination in numerous ways being one of them. It follows the story of the victims of such atrocities like social boycott, communal attacks by Jatts (upper caste) in Punjab. The film visits the recent uproars in the Punjab.		Randeep Singh	Randeep Singh is a Photographer and Documentary Filmmaker currently teaching as Assistant Professor in Photography at Lovely Professional University, Punjab. He has done regular photojournalistic and freelance assignments for magazines and newspapers, such as, Haryana Review, Tehelka, The Times of India, Frontline, Indo-US Dialogue Magazine, etc.	Randeep Singh	Sahib Iqbal Singh		Asheesh Pandya		
